"Index","GE_B","SPX_X","EUR_FX","BTC"
"2019-12-13",0.00440891544704486,0.0029029940644686,0.00814402652119764,0.0217365892898893
"2019-12-16",0.00689407504812145,0.00481860110622495,0.00822035973163679,0.0176510937975237
"2019-12-17",0.0043995400603838,0.00892677684628797,0.00806269697377747,0.0387636624770483
"2019-12-18",0.0041160346291941,0.00992830875019895,0.00845071535111294,0.0556644457908782
"2019-12-19",0.00684258939579295,0.00504896085174467,0.00864262260460145,0.0990588077400215
"2019-12-20",0.00485377145207287,0.00299838501733903,0.00837161374754091,0.0599445807003841
"2019-12-23",0.00401957415814243,0.00234251599973622,0.00750228498830958,0.036067055746261
"2019-12-24",0.0037988668725632,0.00159873370538732,0.00729093698819613,0.0285998326506871
"2019-12-25",0.00345818207426375,0.00107067422675668,0.00737066519491945,0.0231146806658983
"2019-12-26",0.00325547971894683,0.000803694404253855,0.00698479739591872,0.0266327186070733
"2019-12-27",0.00302338163239957,0.000730978631618024,0.00726446194289045,0.0235221412194328
"2019-12-30",0.00323506842276654,0.000808489946251362,0.00829607790780619,0.0202252092601383
"2019-12-31",0.022193431072013,0.00471560153749586,0.00666933164794017,0.0242712617901866
"2020-01-01",0.0041380308602521,0.0021104852772717,0.00750094856781447,0.0221591650801519
"2020-01-02",0.00409762968769558,0.00142939491991689,0.00674812039677371,0.0180062400623138
"2020-01-03",0.00846664169969026,0.00115457652557125,0.00722166425179589,0.0244454054067471
"2020-01-06",0.0195841783231808,0.00155680612981384,0.0068748006227982,0.0365013514205695
"2020-01-07",0.00415834073884258,0.00097286778226756,0.00783679940069212,0.111300201929084
"2020-01-08",0.00548083006126491,0.000633930572219508,0.0069965301687899,0.0457869865816726
"2020-01-09",0.00597652639756916,0.000570672522123947,0.00766524651566315,0.0266592423085614
"2020-01-10",0.00709305539798592,0.00115894343065393,0.00739413341317871,0.0273044308872858
